identifier_client,quantity,book_price,portfolio_name,position_date,curve_name
US496902AK39,480000.0,106.88,USIG01,2025-05-20,USD_SWAP
US11271LAB80,1418000.0,82.05,USIG01,2025-05-20,USD_SWAP
US49271VAD29,605000.0,88.06,USIG01,2025-05-20,USD_SWAP
US25746UCZ03,564000.0,80.88,USIG01,2025-05-20,USD_SWAP
US694308HY69,1366000.0,71.15,USIG01,2025-05-20,USD_SWAP
US00206RDS85,818000.0,93.22,USIG01,2025-05-20,USD_SWAP
US097023CB95,536000.0,69.31,USIG01,2025-05-20,USD_SWAP
US682680BV46,756000.0,87.19,USIG01,2025-05-20,USD_SWAP
US694308HL49,949000.0,76.13,USIG01,2025-05-20,USD_SWAP
US219350BK07,936000.0,92.27,USIG01,2025-05-20,USD_SWAP
US694308HH37,937000.0,82.11,USIG01,2025-05-20,USD_SWAP
US694308GY78,403000.0,78.69,USIG01,2025-05-20,USD_SWAP
US50587KAB70,615000.0,82.69,USIG01,2025-05-20,USD_SWAP
US237194AM73,501000.0,80.13,USIG01,2025-05-20,USD_SWAP
US494550BH82,930000.0,101.03,USIG01,2025-05-20,USD_SWAP
US29278GAC24,1775000.0,82.93,USIG01,2025-05-20,USD_SWAP
US444859BE13,1124000.0,84.95,USIG01,2025-05-20,USD_SWAP
US694308HR19,1018000.0,72.07,USIG01,2025-05-20,USD_SWAP
US161175CE27,2119000.0,66.9,USIG01,2025-05-20,USD_SWAP
US67077MAU27,1110000.0,87.59,USIG01,2025-05-20,USD_SWAP
US925524AX89,1369000.0,99.97,USIG01,2025-05-20,USD_SWAP
US39541EAE32,2000000.0,98.76,USIG01,2025-05-20,USD_SWAP
US198280AH20,835000.0,96.85,USIG01,2025-05-20,USD_SWAP
US842400GG23,2613000.0,72.46,USIG01,2025-05-20,USD_SWAP
US097023BZ72,548000.0,66.93,USIG01,2025-05-20,USD_SWAP
US224044BV89,610000.0,120.6,USIG01,2025-05-20,USD_SWAP
US316773CH12,1525000.0,117.25,USIG01,2025-05-20,USD_SWAP
US548661DS37,880000.0,80.53,USIG01,2025-05-20,USD_SWAP
US15639KAB89,740000.0,90.49,USIG01,2025-05-20,USD_SWAP
US444859BL55,733000.0,71.44,USIG01,2025-05-20,USD_SWAP
US026874DM66,210000.0,98.61,USIG01,2025-05-20,USD_SWAP
US00787CAD48,735000.0,73.0,USIG01,2025-05-20,USD_SWAP
US843646AU49,653000.0,85.93,USIG01,2025-05-20,USD_SWAP
US50077LAZ94,2375000.0,85.76,USIG01,2025-05-20,USD_SWAP
US097023CK94,1187000.0,70.42,USIG01,2025-05-20,USD_SWAP
US94974BGU89,2964000.0,83.09,USIG01,2025-05-20,USD_SWAP
US574599BM79,634000.0,79.61,USIG01,2025-05-20,USD_SWAP
US57069PAA03,100000.0,105.35,USIG01,2025-05-20,USD_SWAP
US126650CD09,550000.0,89.66,USIG01,2025-05-20,USD_SWAP
US29250NAJ46,879000.0,79.29,USIG01,2025-05-20,USD_SWAP
US694308HD23,650000.0,80.52,USIG01,2025-05-20,USD_SWAP
US172967KR13,2936000.0,83.07,USIG01,2025-05-20,USD_SWAP
US662352AB99,585000.0,100.2,USIG01,2025-05-20,USD_SWAP
US460146CN10,735000.0,88.72,USIG01,2025-05-20,USD_SWAP
US694308HN05,740000.0,76.02,USIG01,2025-05-20,USD_SWAP
US283677AZ52,494000.0,86.12,USIG01,2025-05-20,USD_SWAP
US902494BH59,2090000.0,88.96,USIG01,2025-05-20,USD_SWAP
US007944AG63,735000.0,67.14,USIG01,2025-05-20,USD_SWAP
US98417EAN04,820000.0,97.36,USIG01,2025-05-20,USD_SWAP
US458140BJ82,2984000.0,60.95,USIG01,2025-05-20,USD_SWAP
US224044CC99,920000.0,79.42,USIG01,2025-05-20,USD_SWAP
US91911TAK97,453000.0,105.43,USIG01,2025-05-20,USD_SWAP
US03743QAG38,120000.0,93.61,USIG01,2025-05-20,USD_SWAP
US097023BV68,510000.0,67.9,USIG01,2025-05-20,USD_SWAP
US682680BU62,286000.0,75.64,USIG01,2025-05-20,USD_SWAP
US80414L2F13,4691000.0,78.36,USIG01,2025-05-20,USD_SWAP
US775109BG57,1207000.0,77.07,USIG01,2025-05-20,USD_SWAP
US969457BV14,645000.0,96.12,USIG01,2025-05-20,USD_SWAP
